rank,chembl_id,pchembl,best_dG
1,CHEMBL4483483,8.22,-6.6
2,CHEMBL4483483,8.22,-6.6
3,CHEMBL4483483,8.22,-6.6
4,CHEMBL4587306,8.3,-6.6
5,CHEMBL4483483,8.22,-6.6
6,CHEMBL4483483,8.22,-6.6
7,CHEMBL4483483,8.22,-6.6
8,CHEMBL4483483,8.22,-6.6
9,CHEMBL4436264,8.7,-6.5
10,CHEMBL4587306,8.3,-6.5
11,CHEMBL4436264,8.7,-6.5
12,CHEMBL4587306,8.3,-6.5
13,CHEMBL4548014,8.3,-6.5
14,CHEMBL4533417,8.22,-6.5
15,CHEMBL4436264,8.7,-6.5
16,CHEMBL4436264,8.7,-6.5
17,CHEMBL4533417,8.22,-6.5
18,CHEMBL4436264,8.7,-6.5
19,CHEMBL4436264,8.7,-6.5
20,CHEMBL4587306,8.3,-6.5
21,CHEMBL4587306,8.3,-6.4
22,CHEMBL4548014,8.3,-6.4
23,CHEMBL4483622,8.3,-6.4
24,CHEMBL4548014,8.3,-6.4
25,CHEMBL4483622,8.3,-6.4
26,CHEMBL4483622,8.3,-6.4
27,CHEMBL4483622,8.3,-6.4
28,CHEMBL4587306,8.3,-6.4
29,CHEMBL4587306,8.3,-6.4
30,CHEMBL4483622,8.3,-6.4
31,CHEMBL4548014,8.3,-6.4
32,CHEMBL4483622,8.3,-6.4
33,CHEMBL4436264,8.7,-6.3
34,CHEMBL4547034,8.22,-6.3
35,CHEMBL4542437,8.4,-6.3
36,CHEMBL4527607,8.52,-6.3
37,CHEMBL4520837,8.52,-6.3
38,CHEMBL4520837,8.52,-6.3
39,CHEMBL4542437,8.4,-6.3
40,CHEMBL4547034,8.22,-6.3
41,CHEMBL4547034,8.22,-6.3
42,CHEMBL4515492,8.52,-6.3
43,CHEMBL4547034,8.22,-6.3
44,CHEMBL4548014,8.3,-6.3
45,CHEMBL4542437,8.4,-6.3
46,CHEMBL4548014,8.3,-6.3
47,CHEMBL4542437,8.4,-6.3
48,CHEMBL4520837,8.52,-6.3
49,CHEMBL4542437,8.4,-6.3
50,CHEMBL4533417,8.22,-6.2
51,CHEMBL4533417,8.22,-6.2
52,CHEMBL4541133,9.52,-6.2
53,CHEMBL4520837,8.52,-6.2
54,CHEMBL4542437,8.4,-6.2
55,CHEMBL4541133,9.52,-6.2
56,CHEMBL4541133,9.52,-6.2
57,CHEMBL4520837,8.52,-6.2
58,CHEMBL4533417,8.22,-6.2
59,CHEMBL4547034,8.22,-6.2
60,CHEMBL4541133,9.52,-6.2
61,CHEMBL4520837,8.52,-6.2
62,CHEMBL4467246,8.52,-6.2
63,CHEMBL4533417,8.22,-6.2
64,CHEMBL4547034,8.22,-6.2
65,CHEMBL4541133,9.52,-6.2
66,CHEMBL4467246,8.52,-6.1
67,CHEMBL4527607,8.52,-6.1
68,CHEMBL4467246,8.52,-6.1
69,CHEMBL4515492,8.52,-6.1
70,CHEMBL4536737,9.1,-6.1
71,CHEMBL4540875,8.43,-6.1
72,CHEMBL4527607,8.52,-6.1
73,CHEMBL4536737,9.1,-6.1
74,CHEMBL4540875,8.43,-6.1
75,CHEMBL4527607,8.52,-6.1
76,CHEMBL4515492,8.52,-6.1
77,CHEMBL4536737,9.1,-6.1
78,CHEMBL4540875,8.43,-6.1
79,CHEMBL4515492,8.52,-6.0
80,CHEMBL4536737,9.1,-6.0
81,CHEMBL4540875,8.43,-6.0
82,CHEMBL4541457,8.3,-6.0
83,CHEMBL4467246,8.52,-6.0
84,CHEMBL4521661,8.41,-6.0
85,CHEMBL4515492,8.52,-6.0
86,CHEMBL4536737,9.1,-6.0
87,CHEMBL4541457,8.3,-6.0
88,CHEMBL4540875,8.43,-6.0
89,CHEMBL4584313,8.8,-6.0
90,CHEMBL4584313,8.8,-6.0
91,CHEMBL4527607,8.52,-6.0
92,CHEMBL4541457,8.3,-6.0
93,CHEMBL4467246,8.52,-6.0
94,CHEMBL4521661,8.41,-6.0
95,CHEMBL4541457,8.3,-6.0
96,CHEMBL4467246,8.52,-6.0
97,CHEMBL4521661,8.41,-6.0
98,CHEMBL4540875,8.43,-6.0
99,CHEMBL4584313,8.8,-6.0
100,CHEMBL4584313,8.8,-6.0
101,CHEMBL4527607,8.52,-6.0
102,CHEMBL4515492,8.52,-6.0
103,CHEMBL4521661,8.41,-6.0
104,CHEMBL4541457,8.3,-6.0
105,CHEMBL4584313,8.8,-5.9
106,CHEMBL4541133,9.52,-5.9
107,CHEMBL4579388,8.48,-5.9
108,CHEMBL4579388,8.48,-5.9
109,CHEMBL4584313,8.8,-5.9
110,CHEMBL4541457,8.3,-5.9
111,CHEMBL4536737,9.1,-5.9
112,CHEMBL4521661,8.41,-5.8
113,CHEMBL4579388,8.48,-5.8
114,CHEMBL4521661,8.41,-5.8
115,CHEMBL4579388,8.48,-5.8
116,CHEMBL4579388,8.48,-5.8
117,CHEMBL4518579,8.54,-5.8
118,CHEMBL4579388,8.48,-5.8
119,CHEMBL4518579,8.54,-5.7
120,CHEMBL4518579,8.54,-5.7
121,CHEMBL4518579,8.54,-5.7
122,CHEMBL4518579,8.54,-5.7
123,CHEMBL4518579,8.54,-5.7
