epoch,train_loss,val_loss,train_ppl,val_ppl,secs
0,0.7663,0.6095,2.15,1.84,81.8
1,0.5930,0.5535,1.81,1.74,80.4
2,0.5543,0.5278,1.74,1.70,80.4
3,0.5336,0.5111,1.70,1.67,80.4
4,0.5206,0.5007,1.68,1.65,80.4
5,0.5123,0.4958,1.67,1.64,80.4
6,0.5058,0.4896,1.66,1.63,80.4
7,0.5009,0.4852,1.65,1.62,80.4
8,0.4973,0.4813,1.64,1.62,80.4
9,0.4941,0.4808,1.64,1.62,80.4
10,0.4925,0.4796,1.64,1.62,80.4
11,0.4896,0.4759,1.63,1.61,80.4
12,0.4875,0.4738,1.63,1.61,80.4
13,0.4859,0.4723,1.63,1.60,80.4
14,0.4844,0.4716,1.62,1.60,80.4
15,0.4833,0.4712,1.62,1.60,80.5
16,0.4819,0.4687,1.62,1.60,80.4
17,0.4810,0.4679,1.62,1.60,80.4
18,0.4798,0.4673,1.62,1.60,80.7
19,0.4794,0.4674,1.62,1.60,80.4
20,0.4785,0.4664,1.61,1.59,80.5
21,0.4778,0.4656,1.61,1.59,80.4
22,0.4768,0.4647,1.61,1.59,80.9
23,0.4761,0.4643,1.61,1.59,80.5
24,0.4754,0.4638,1.61,1.59,80.5
25,0.4748,0.4639,1.61,1.59,80.7
26,0.4743,0.4625,1.61,1.59,80.8
27,0.4740,0.4622,1.61,1.59,80.8
28,0.4733,0.4620,1.61,1.59,80.9
29,0.4726,0.4621,1.60,1.59,80.7
